profile,engine,spec,panel,counter,iso3,country_es,moment,moment_label,value,source_var,target,verified,source,gap,gap_pct
paper_memlite,matlab,panelC_no_hurricane,C,5,GRD,Granada,debt_gdp,Deuda externa/PIB,0.6401561733688363,meanBY_sim,0.64,True,mallucci2022_jie_table2,0.00015617336883633204,0.02440208888067688
paper_memlite,matlab,panelC_no_hurricane,C,1,ATG,Antigua y Barbuda,debt_gdp_market,Deuda/PIB (valor de mercado),0.4762946632752629,meanBY_sim_market,0.46,True,mallucci2022_jie_table2,0.016294663275262855,3.542318103318012
paper_memlite,matlab,panelC_no_hurricane,C,4,DOM,Republica Dominicana,debt_gdp_market,Deuda/PIB (valor de mercado),0.2551765227234394,meanBY_sim_market,0.27,True,mallucci2022_jie_table2,-0.014823477276560637,-5.490176769096532
paper_memlite,matlab,panelC_no_hurricane,C,5,GRD,Granada,debt_gdp_market,Deuda/PIB (valor de mercado),0.5347322746228247,meanBY_sim_market,0.53,True,mallucci2022_jie_table2,0.0047322746228246615,0.8928820043065399
paper_memlite,matlab,panelC_no_hurricane,C,1,ATG,Antigua y Barbuda,hurricane_freq,Frecuencia de huracan,0.0002,hur_freq_sim,,,,,
paper_memlite,matlab,panelC_no_hurricane,C,4,DOM,Republica Dominicana,hurricane_freq,Frecuencia de huracan,0.0002,hur_freq_sim,,,,,
paper_memlite,matlab,panelC_no_hurricane,C,5,GRD,Granada,hurricane_freq,Frecuencia de huracan,0.0002,hur_freq_sim,,,,,
paper_memlite,matlab,panelC_no_hurricane,C,1,ATG,Antigua y Barbuda,default_freq,Frecuencia de default,0.0483961559457204,def_freq_sim,0.05,True,mallucci2022_jie_table2,-0.0016038440542796017,-3.2076881085592035
paper_memlite,matlab,panelC_no_hurricane,C,4,DOM,Republica Dominicana,default_freq,Frecuencia de default,0.0803121195369271,def_freq_sim,0.074,True,mallucci2022_jie_table2,0.006312119536927105,8.52989126611771
paper_memlite,matlab,panelC_no_hurricane,C,5,GRD,Granada,default_freq,Frecuencia de default,0.0508843711823361,def_freq_sim,0.051,True,mallucci2022_jie_table2,-0.00011562881766389449,-0.22672317188998922
